id_presupuesto,departamento_id,categoria_id,periodo_id,monto_presupuestado
117,2,2,9,5951.63
118,2,2,10,6033.35
119,2,2,11,6026.15
120,2,2,12,5916.68
121,2,3,1,4042.0
122,2,3,2,4006.3
123,2,3,3,4044.58
124,2,3,4,4004.86
125,2,3,5,3920.09
126,2,3,6,3971.86
127,2,3,7,3923.12
128,2,3,8,4068.66
129,2,3,9,4060.6
130,2,3,10,4053.07
131,2,3,11,3969.2
132,2,3,12,3929.27
133,2,5,1,3045.36
134,2,5,2,3053.63
135,2,5,3,2950.28
136,2,5,4,2998.32
137,2,5,5,2948.31
138,2,5,6,3031.27
139,2,5,7,3031.9
140,2,5,8,2955.41
141,2,5,9,2997.03
142,2,5,10,3005.98
143,2,5,11,2971.81
144,2,5,12,3044.69
145,3,2,1,21932.36
146,3,2,2,21746.38
147,3,2,3,22034.58
148,3,2,4,22202.34
149,3,2,5,21737.01
150,3,2,6,21834.31
151,3,2,7,22435.73
152,3,2,8,22131.89
153,3,2,9,21945.53
154,3,2,10,22015.47
155,3,2,11,21666.48
156,3,2,12,21757.73
157,3,4,1,8941.71
158,3,4,2,9031.79
159,3,4,3,8902.84
160,3,4,4,8899.28
161,3,4,5,8845.56
162,3,4,6,9047.2
163,3,4,7,8902.42
164,3,4,8,9145.95
165,3,4,9,9129.47
166,3,4,10,8845.51
167,3,4,11,8905.68
168,3,4,12,9060.83
169,4,3,1,34599.93
170,4,3,2,34485.24
171,4,3,3,35609.72
172,4,3,4,35099.46
173,4,3,5,34961.74
174,4,3,6,35398.47
175,4,3,7,35430.5
176,4,3,8,34566.57
177,4,3,9,34435.7
178,4,3,10,34903.47
179,4,3,11,34893.01
180,4,3,12,34953.83
181,4,2,1,4036.65
182,4,2,2,4027.74
183,4,2,3,4077.47
184,4,2,4,3935.75
185,4,2,5,3984.42
186,4,2,6,3974.29
187,4,2,7,4057.87
188,4,2,8,3959.79
189,4,2,9,3950.43
190,4,2,10,3991.78
191,4,2,11,3987.5
192,4,2,12,3964.57
193,5,4,1,27719.78
194,5,4,2,28474.06
195,5,4,3,27936.31
196,5,4,4,28404.71
197,5,4,5,28056.36
198,5,4,6,27496.66
199,5,4,7,28559.2
200,5,4,8,28376.35
201,5,4,9,28525.28
202,5,4,10,28477.53
203,5,4,11,28390.54
204,5,4,12,27626.27
205,5,5,1,3997.7
206,5,5,2,3954.2
207,5,5,3,3984.17
208,5,5,4,3929.38
209,5,5,5,3980.64
210,5,5,6,4077.65
211,5,5,7,3962.43
212,5,5,8,4045.45
213,5,5,9,3992.8
214,5,5,10,3987.68
215,5,5,11,4073.17
216,5,5,12,4079.27
217,6,2,1,7015.62
218,6,2,2,7061.15
219,6,2,3,6903.34
220,6,2,4,6943.08
221,6,2,5,7131.24
222,6,2,6,7022.17
223,6,2,7,7011.81
224,6,2,8,7069.43
225,6,2,9,6876.01
226,6,2,10,7023.57
227,6,2,11,7000.8
228,6,2,12,7098.76
229,6,4,1,2958.89
230,6,4,2,3055.29
231,6,4,3,2949.61
232,6,4,4,2962.3
233,6,4,5,3011.4
234,6,4,6,3021.03
235,6,4,7,2968.22
236,6,4,8,2954.39
237,6,4,9,3046.83
238,6,4,10,2969.55
239,6,4,11,3011.34
240,6,4,12,3014.33
