id_gasto,departamento_id,categoria_id,periodo_id,monto_gasto_esperado
102,1.0,5.0,18,2639.28
103,1.0,5.0,19,2570.37
104,1.0,5.0,20,2548.7
105,1.0,5.0,21,2582.73
106,1.0,5.0,22,2617.1
107,1.0,5.0,23,2581.58
108,1.0,5.0,24,2568.28
109,2.0,2.0,13,6506.1
110,2.0,2.0,14,6322.15
111,2.0,2.0,15,6274.09
112,2.0,2.0,16,6027.96
113,2.0,2.0,17,6448.65
114,2.0,2.0,18,6050.6
115,2.0,2.0,19,6103.52
116,2.0,2.0,20,6439.9
117,2.0,2.0,21,6235.39
118,2.0,2.0,22,6165.92
119,2.0,2.0,23,6169.47
120,2.0,2.0,24,6368.63
121,2.0,3.0,13,4223.83
122,2.0,3.0,14,3996.56
123,2.0,3.0,15,4014.59
124,2.0,3.0,16,4354.51
125,2.0,3.0,17,4090.57
126,2.0,3.0,18,4320.83
127,2.0,3.0,19,4215.23
128,2.0,3.0,20,4358.28
129,2.0,3.0,21,4182.42
130,2.0,3.0,22,4102.89
131,2.0,3.0,23,4281.72
132,2.0,3.0,24,4054.42
133,2.0,5.0,13,3108.41
134,2.0,5.0,14,3175.78
135,2.0,5.0,15,3263.67
136,2.0,5.0,16,3085.27
137,2.0,5.0,17,3036.76
138,2.0,5.0,18,3051.21
139,2.0,5.0,19,3247.79
140,2.0,5.0,20,3037.51
141,2.0,5.0,21,3175.83
142,2.0,5.0,22,3096.16
143,2.0,5.0,23,3145.48
144,2.0,5.0,24,3094.79
145,3.0,2.0,13,22620.73
146,3.0,2.0,14,24149.75
147,3.0,2.0,15,24389.3
148,3.0,2.0,16,23985.71
149,3.0,2.0,17,22288.25
150,3.0,2.0,18,24030.16
151,3.0,2.0,19,23524.48
152,3.0,2.0,20,22137.78
153,3.0,2.0,21,22271.03
154,3.0,2.0,22,22565.46
155,3.0,2.0,23,23832.55
156,3.0,2.0,24,24187.18
157,3.0,4.0,13,9962.17
158,3.0,4.0,14,9864.2
159,3.0,4.0,15,9397.89
160,3.0,4.0,16,9667.73
161,3.0,4.0,17,9331.98
162,3.0,4.0,18,9772.14
163,3.0,4.0,19,9169.49
164,3.0,4.0,20,9998.88
165,3.0,4.0,21,9018.18
166,3.0,4.0,22,9045.34
167,3.0,4.0,23,9449.0
168,3.0,4.0,24,9955.93
169,4.0,3.0,13,38845.84
170,4.0,3.0,14,38661.86
171,4.0,3.0,15,37786.43
172,4.0,3.0,16,39460.86
173,4.0,3.0,17,39758.57
174,4.0,3.0,18,38703.38
175,4.0,3.0,19,36851.88
176,4.0,3.0,20,39925.34
177,4.0,3.0,21,36859.56
178,4.0,3.0,22,41326.71
179,4.0,3.0,23,39813.78
180,4.0,3.0,24,37851.94
181,4.0,2.0,13,4545.04
182,4.0,2.0,14,4607.88
183,4.0,2.0,15,4610.75
184,4.0,2.0,16,4706.71
185,4.0,2.0,17,4607.77
186,4.0,2.0,18,4491.37
187,4.0,2.0,19,4209.66
188,4.0,2.0,20,4374.87
189,4.0,2.0,21,4679.55
190,4.0,2.0,22,4406.9
191,4.0,2.0,23,4222.76
192,4.0,2.0,24,4467.98
193,5.0,4.0,13,30293.3
194,5.0,4.0,14,30843.99
195,5.0,4.0,15,30407.66
196,5.0,4.0,16,33219.77
197,5.0,4.0,17,31946.48
198,5.0,4.0,18,31186.41
199,5.0,4.0,19,32453.34
200,5.0,4.0,20,32004.85
201,5.0,4.0,21,30369.64
202,5.0,4.0,22,31653.51
203,5.0,4.0,23,32256.71
204,5.0,4.0,24,30063.78
205,5.0,5.0,13,4492.67
206,5.0,5.0,14,4556.62
207,5.0,5.0,15,4398.66
208,5.0,5.0,16,4372.29
209,5.0,5.0,17,4432.12
210,5.0,5.0,18,4566.69
211,5.0,5.0,19,4712.65
212,5.0,5.0,20,4806.71
213,5.0,5.0,21,4651.91
214,5.0,5.0,22,4827.86
215,5.0,5.0,23,4377.52
216,5.0,5.0,24,4598.85
217,6.0,2.0,13,7044.52
218,6.0,2.0,14,7065.81
219,6.0,2.0,15,7205.41
220,6.0,2.0,16,7055.52
221,6.0,2.0,17,7225.65
222,6.0,2.0,18,7232.84
223,6.0,2.0,19,7014.25
224,6.0,2.0,20,6988.63
225,6.0,2.0,21,7303.88
226,6.0,2.0,22,7084.57
227,6.0,2.0,23,7214.19
228,6.0,2.0,24,7115.8
229,6.0,4.0,13,3134.0
230,6.0,4.0,14,3059.64
231,6.0,4.0,15,2992.06
232,6.0,4.0,16,3098.29
233,6.0,4.0,17,3016.97
234,6.0,4.0,18,3135.21
235,6.0,4.0,19,3039.9
236,6.0,4.0,20,2971.62
237,6.0,4.0,21,2993.47
238,6.0,4.0,22,3053.38
239,6.0,4.0,23,3121.2
240,6.0,4.0,24,3104.76
