id_ejecucion,departamento_id,categoria_id,periodo_id,monto_ejecutado,fue_corregido_signo
101,1,5,8,2474.47,False
102,1,5,9,2507.51,False
103,1,5,10,2540.88,False
104,1,5,11,2506.39,False
105,2,2,1,6316.6,False
106,2,2,2,6138.01,False
107,2,2,3,6091.35,False
108,2,2,4,5852.38,False
109,2,2,5,6260.83,False
110,2,2,6,5874.37,False
111,2,2,7,5925.75,False
112,2,2,8,6252.33,False
113,2,2,9,6053.78,False
114,2,2,10,5986.33,False
115,2,2,11,5989.78,False
116,2,2,12,6183.14,False
117,2,3,1,4100.81,False
118,2,3,2,3880.15,False
119,2,3,3,3897.66,False
120,2,3,4,4227.68,False
121,2,3,5,3971.43,False
122,2,3,6,4194.98,False
123,2,3,7,4092.46,False
124,2,3,8,4231.34,False
125,2,3,10,3983.39,False
126,2,3,11,4157.01,False
127,2,3,12,3936.33,False
128,2,5,1,3017.87,False
129,2,5,2,3083.28,False
130,2,5,3,3168.61,False
131,2,5,4,2995.41,False
132,2,5,6,2962.34,False
133,2,5,7,3153.19,False
134,2,5,8,2949.04,False
135,2,5,9,3083.33,False
136,2,5,11,3053.87,False
137,2,5,12,3004.65,False
138,3,2,1,21961.87,False
139,3,2,2,23446.36,False
140,3,2,3,23678.93,False
141,3,2,4,23287.1,False
142,3,2,5,21639.08,False
143,3,2,6,23330.25,True
144,3,2,7,22839.3,False
145,3,2,8,21492.99,False
146,3,2,9,21622.36,False
147,3,2,10,21908.22,False
148,3,2,11,23138.4,False
149,3,2,12,23482.7,False
150,3,4,1,9672.01,False
151,3,4,2,9576.9,False
152,3,4,3,9124.16,False
153,3,4,4,9386.14,False
154,3,4,5,9060.17,False
155,3,4,6,9487.51,False
156,3,4,8,9707.65,False
157,3,4,9,8755.52,False
158,3,4,10,8781.88,False
159,3,4,11,9173.79,False
160,3,4,12,9665.96,False
161,4,3,1,36647.01,False
162,4,3,2,36473.46,False
163,4,3,3,35647.58,False
164,4,3,4,37227.22,False
165,4,3,5,37508.09,False
166,4,3,6,36512.62,False
167,4,3,7,34765.92,False
168,4,3,8,37665.42,False
169,4,3,9,34773.17,False
170,4,3,10,38987.46,False
171,4,3,11,37560.17,False
172,4,3,12,35709.38,True
173,4,2,1,4287.77,False
174,4,2,2,4347.06,False
175,4,2,3,4349.76,False
176,4,2,4,4440.29,False
177,4,2,5,4346.95,False
178,4,2,6,4237.14,False
179,4,2,7,3971.38,False
180,4,2,8,4127.23,False
181,4,2,9,4414.67,False
182,4,2,10,4157.45,False
183,4,2,11,3983.74,False
184,4,2,12,4215.08,False
185,5,4,1,28578.58,False
186,5,4,2,29098.11,False
187,5,4,3,28686.47,False
188,5,4,4,31339.41,False
189,5,4,5,30138.19,False
190,5,4,6,29421.14,False
191,5,4,7,30616.36,False
192,5,4,8,30193.26,False
193,5,4,9,28650.6,False
194,5,4,10,29861.8,False
195,5,4,11,30430.86,False
196,5,4,12,28362.05,False
197,5,5,1,4238.37,False
198,5,5,2,4298.7,False
199,5,5,3,4149.68,False
200,5,5,4,4124.8,False
201,5,5,5,4181.24,False
202,5,5,6,4308.2,False
203,5,5,7,4445.89,False
204,5,5,8,4534.63,False
205,5,5,9,4388.59,False
206,5,5,10,4554.59,False
207,5,5,11,4129.74,False
208,5,5,12,4338.53,False
209,6,2,1,6839.34,False
210,6,2,2,6860.01,False
211,6,2,3,6995.54,False
212,6,2,4,6850.02,False
213,6,2,5,7015.19,False
214,6,2,7,6809.96,False
215,6,2,8,6785.08,False
216,6,2,9,7091.15,False
217,6,2,10,6878.22,False
218,6,2,11,7004.07,False
219,6,2,12,6908.55,False
220,6,4,1,3042.72,False
221,6,4,2,2970.52,False
222,6,4,3,2904.91,False
223,6,4,4,3008.05,False
224,6,4,5,2929.1,False
225,6,4,6,3043.89,False
226,6,4,7,2951.36,False
227,6,4,8,2885.07,False
228,6,4,9,2906.29,False
229,6,4,10,2964.44,False
230,6,4,11,3030.29,False
